,end_points,13:18:49,3368
0,18.5,1.7,-1.6
1,-86.4,-6.9,-3.5
2,-30.5,128.0,-3.2
3,-0.3,-20.9,-1.9
4,18.5,1.7,-0.7
5,-79.1,-6.5,-2.1
6,-31.5,128.0,-2.0
7,-0.2,-21.3,-0.9
8,18.3,1.7,-0.8
9,-79.8,-6.6,-1.9
10,-32.6,128.0,-1.7
11,-0.3,-20.6,-1.0
12,18.5,1.7,-0.8
13,-75.7,-5.9,-1.8
14,-27.5,128.0,-1.6
15,-0.3,-20.9,-1.0
16,18.2,1.7,0.2
17,-101.3,-8.3,-1.0
18,-33.4,128.0,0.4
19,-0.2,-21.1,-0.0
20,19.7,1.8,0.2
21,-79.9,-6.9,-0.9
22,-33.5,128.0,-1.4
23,0.8,-20.4,0.1
24,18.9,1.8,-0.6
25,-72.5,-6.1,-2.2
26,-35.5,128.0,-2.8
27,-0.1,-21.3,-0.9
28,17.4,1.7,-1.6
29,-73.6,-5.8,-3.3
30,-31.5,128.0,-2.9
31,-1.3,-21.0,-1.9
32,18.8,1.7,-1.7
33,-87.9,-7.1,-3.1
34,-31.4,128.0,-3.5
35,-0.2,-21.2,-1.9
36,18.9,1.7,0.3
37,-87.1,-7.1,-1.0
38,-31.2,128.0,-1.0
39,-0.2,-21.2,0.1
40,21.1,1.9,-0.1
41,-72.4,-6.5,0.2
42,-32.5,128.0,-1.3
43,1.9,-20.7,0.1
44,19.0,1.8,-0.7
45,-96.5,-8.0,-2.1
46,-31.3,128.0,-6.2
47,-0.2,-21.0,-0.7
48,18.2,2.3,-1.6
49,-75.5,-8.4,-3.5
50,-39.0,128.0,-8.5
51,0.4,-21.0,-1.6
52,18.6,2.9,-1.7
53,-74.4,-10.1,-3.2
54,-53.0,128.0,1.6
55,0.9,-20.5,-2.2
56,19.3,3.2,-1.5
57,-82.0,-11.9,-4.0
58,-55.2,128.0,10.9
59,0.8,-18.6,-2.7
60,19.4,2.4,-1.7
61,-80.2,-12.9,-3.1
62,-57.8,128.0,9.7
63,-0.4,-17.6,-2.5
64,18.4,0.5,-1.9
65,-68.6,-13.1,-2.3
66,-57.8,128.0,-12.7
67,-0.4,-25.8,-1.3
68,17.9,3.1,-2.3
69,-120.7,-18.2,6.7
70,-36.3,128.0,-30.7
71,3.9,-36.2,4.1
72,19.3,5.6,-2.7
73,-128.0,-31.6,4.1
74,-5.8,24.0,-3.3
