,free_node_coor_list,21:46:37,28132
0,-31,-28,-1
1,-30,-28,-1
2,-29,-27,-1
3,-28,-27,-1
4,-16,-32,-1
5,-13,-32,-2
6,-13,-31,-1
7,-13,-30,-1
8,-32,-8,-4
9,-31,-8,-3
10,-30,-8,-3
11,-29,-8,-3
12,-32,-5,-1
13,-31,-5,-1
14,-30,-5,-1
15,-29,-5,-1
16,-28,-8,-3
17,-27,-7,-3
18,-26,-7,-3
19,-25,-7,-2
20,-31,-4,-2
21,-31,-4,-1
22,-31,-3,-1
23,-30,-4,-2
24,-29,-3,-2
25,-30,-3,-1
26,-29,-3,-1
27,-28,-3,-2
28,-27,-3,-2
29,-28,-3,-1
30,-27,-3,-1
31,-26,-3,-2
32,-25,-3,-2
33,-26,-3,-1
34,-25,-3,-1
35,-24,-7,-2
36,-23,-7,-2
37,-22,-6,-2
38,-21,-6,-2
39,-20,-6,-2
40,-19,-6,-1
41,-18,-6,-1
42,-17,-6,-1
43,-24,-3,-2
44,-23,-3,-2
45,-24,-3,-1
46,-23,-3,-1
47,-22,-3,-2
48,-22,-3,-1
49,-24,-2,-1
50,-23,-2,-1
51,-22,-2,-1
52,-21,-2,-1
53,-20,-2,-1
54,-19,-2,-1
55,-18,-2,-1
56,-17,-2,-1
57,-16,-5,-1
58,-15,-5,-1
59,-14,-5,-1
60,-16,-2,-1
61,-15,-1,-1
62,-14,-2,-1
63,-13,-2,-1
64,-14,-1,-1
65,-13,-1,-1
66,-12,-2,-1
67,-12,-1,-1
68,-11,-1,-1
69,-10,-2,-1
70,-9,-2,-1
71,-10,-1,-1
72,-9,-1,-1
73,-1,-6,-1
74,-1,-5,-1
75,-8,-2,-1
76,-7,-2,-1
77,-8,-1,-1
78,-7,-1,-1
79,-6,-1,-1
80,-5,-1,-1
81,-1,-4,-1
82,-1,-3,-1
83,-4,-1,-1
84,-3,-1,-1
85,-1,-2,-1
86,-2,-1,-1
87,-1,-1,-1
88,27,-31,-14
89,27,-30,-14
90,26,-29,-13
91,26,-28,-12
92,26,-27,-12
93,25,-25,-11
94,26,-26,-11
95,25,-24,-10
96,25,-23,-9
97,25,-22,-9
98,20,-31,-1
99,23,-20,-1
100,22,-19,-1
101,23,-19,-1
102,24,-21,-8
103,24,-20,-8
104,24,-19,-7
105,24,-18,-7
106,24,-17,-6
107,30,-21,-1
108,31,-21,-1
109,24,-20,-1
110,25,-20,-1
111,24,-19,-1
112,25,-19,-1
113,26,-19,-2
114,27,-19,-2
115,26,-20,-1
116,27,-20,-1
117,29,-19,-3
118,30,-19,-3
119,31,-19,-3
120,28,-20,-2
121,29,-20,-2
122,28,-19,-2
123,30,-20,-2
124,31,-20,-2
125,31,-18,-1
126,11,-15,-1
127,12,-15,-1
128,13,-15,-1
129,14,-15,-1
130,15,-14,-2
131,0,-6,-1
132,0,-5,-1
133,0,-4,-1
134,0,-3,-1
135,0,-2,-1
136,0,-1,-1
137,1,-1,-1
138,2,-1,-1
139,3,-1,-1
140,4,-1,-1
141,5,-1,-1
142,23,-16,-5
143,23,-15,-5
144,16,-14,-2
145,17,-14,-2
146,18,-14,-2
147,19,-14,-2
148,20,-14,-3
149,21,-14,-3
150,23,-14,-4
151,23,-13,-4
152,22,-14,-3
153,23,-14,-3
154,22,-12,-3
155,22,-11,-3
156,22,-10,-2
157,22,-9,-1
158,29,-13,-5
159,30,-13,-5
