,occu_node_coor_list,19:49:28,168
0,-1,-6,-1
1,7,-1,-1
2,-22,2,-1
3,-26,-23,6
4,-26,-22,6
5,-26,-21,6
6,-26,-22,7
7,-26,-21,7
8,-26,-20,5
9,-26,-19,6
10,-26,-18,7
11,-26,-17,7
12,-26,-21,8
13,-26,-22,9
14,-26,-21,9
15,-25,-21,9
16,-26,-23,10
17,-26,-22,10
18,-25,-22,10
19,-26,-21,10
20,-26,-20,9
21,-26,-19,9
22,-25,-17,8
23,-26,-18,9
24,-26,-17,9
25,-25,-17,9
26,-26,-20,11
27,-26,-19,11
28,-26,-18,10
29,-25,-17,10
30,-26,-18,11
31,-26,-16,6
32,-25,-15,6
33,-26,-16,7
34,-25,-14,6
35,-24,-12,7
36,-25,-3,6
37,-25,-4,7
38,-26,-3,7
39,-26,-2,6
40,-26,-1,6
41,-25,-1,6
42,-26,-2,7
43,-26,-1,7
44,-25,-1,7
45,-24,-1,0
46,-23,-1,0
47,-23,-2,1
48,-23,-1,1
49,-22,-2,0
50,-23,-2,2
51,-23,-2,3
52,-24,-1,7
53,-25,-16,8
54,-25,-16,9
55,-25,-15,9
56,-25,-14,9
57,-25,-14,10
58,-24,-14,8
59,-24,-13,8
60,-24,-14,9
61,-24,-13,9
62,-23,-14,11
63,-24,-11,8
64,-24,-12,9
65,-24,-11,9
66,-24,-10,8
67,-24,-9,8
68,-24,-10,9
69,-24,-9,9
70,-25,-8,8
71,-25,-7,8
72,-25,-8,9
73,-25,-7,9
74,-25,-6,8
75,-25,-5,8
76,-25,-6,9
77,-26,-5,9
78,-25,-5,9
79,-25,-4,8
80,-26,-3,8
81,-26,-4,9
82,-25,-4,9
83,-26,-3,9
84,-26,-2,8
85,-26,-1,8
86,-25,-1,8
87,-26,-2,9
88,-25,-1,9
89,-26,-3,10
90,-26,-2,10
91,-26,-1,10
92,-25,-1,10
93,-24,-8,8
94,-3,-16,1
95,-2,-11,0
96,0,-18,0
97,0,-17,0
98,0,-12,0
99,13,-13,7
100,13,-12,7
101,13,-10,7
102,13,-6,1
103,12,-6,2
104,8,-4,0
105,9,-3,0
106,11,-2,0
107,9,-7,7
108,10,-7,7
109,11,-7,7
110,13,-8,7
111,12,-7,7
112,10,-13,8
113,11,-14,9
114,8,-14,10
115,13,-14,9
116,13,-13,9
117,9,-11,8
118,10,-12,8
119,10,-12,9
120,10,-9,9
121,8,-10,10
122,13,-12,9
123,13,-11,9
124,13,-9,9
125,14,-10,9
126,14,-9,9
127,10,-8,8
128,11,-8,8
129,11,-8,9
130,11,-7,9
131,14,-8,9
132,16,-6,0
133,28,-8,8
134,-25,2,4
135,-25,2,5
136,-25,1,6
137,-26,0,7
138,-25,0,7
139,-26,1,7
140,-25,2,6
141,-26,3,7
142,-25,3,7
143,-25,4,7
144,-24,0,0
145,-24,0,1
146,-24,0,2
147,-24,0,3
148,-24,1,3
149,-24,2,3
150,-24,0,4
151,-24,1,4
152,-24,0,5
153,-24,1,5
154,-24,0,6
155,-24,0,7
156,-26,0,8
157,-25,0,8
158,-26,1,8
159,-25,1,8
160,-26,0,9
161,-25,0,9
162,-26,1,9
163,-26,2,9
164,-26,0,10
165,-25,0,10
166,-26,1,10
167,-26,0,11
