,rrt_path,13:15:00,72
0,15,-15,9
1,15,-14,9
2,14,-13,9
3,13,-13,9
4,12,-13,9
5,11,-12,9
6,10,-13,8
7,10,-13,8
8,9,-13,7
9,8,-14,7
10,7,-14,8
11,6,-13,8
12,5,-14,8
13,4,-14,7
14,4,-13,7
15,3,-14,7
16,2,-14,7
17,1,-15,7
18,0,-15,7
19,0,-15,7
20,-1,-15,7
21,-1,-16,7
22,-2,-16,7
23,-3,-17,7
24,-3,-17,8
25,-4,-17,8
26,-5,-16,7
27,-5,-15,8
28,-6,-15,8
29,-7,-14,8
30,-7,-13,7
31,-8,-13,7
32,-9,-12,7
33,-9,-11,7
34,-10,-11,7
35,-11,-11,8
36,-12,-11,8
37,-13,-11,8
38,-13,-10,8
39,-14,-9,8
40,-14,-8,8
41,-15,-8,7
42,-15,-7,8
43,-16,-6,8
44,-16,-5,7
45,-16,-4,7
46,-17,-4,7
47,-17,-3,7
48,-17,-2,7
49,-18,-1,7
50,-18,0,7
51,-18,0,7
52,-18,1,7
53,-18,2,7
54,-18,3,8
55,-19,3,8
56,-18,4,8
57,-18,5,8
58,-18,6,8
59,-18,7,7
60,-18,8,8
61,-17,9,8
62,-17,9,8
63,-17,10,9
64,-17,11,8
65,-17,12,8
66,-17,13,8
67,-16,13,8
68,-15,12,8
69,-14,13,8
70,-14,14,8
71,-15,15,9
