,start_points,14:36:13,5212
0,-1,1,-1
1,-1,1,-1
2,-1,1,-1
3,-1,1,-1
4,-1,0,-2
5,-1,0,-2
6,-1,0,-2
7,-1,0,-2
8,0,0,-1
9,0,0,-1
10,0,0,-1
11,0,0,-1
12,0,0,-3
13,0,0,-3
14,0,0,-3
15,0,0,-3
16,-1,0,-2
17,-1,0,-2
18,-1,0,-2
19,-1,0,-2
20,0,0,-2
21,0,0,-2
22,0,0,-2
23,0,0,-2
24,0,0,-3
25,0,0,-3
26,0,0,-3
27,0,0,-3
28,0,0,-2
29,0,0,-2
30,0,0,-2
31,0,0,-2
32,0,0,-2
33,0,0,-2
34,0,0,-2
35,0,0,-2
36,0,0,-1
37,0,0,-1
38,0,0,-1
39,0,0,-1
40,0,0,-1
41,0,0,-1
42,0,0,-1
43,0,0,-1
44,0,0,-2
45,0,0,-2
46,0,0,-2
47,0,0,-2
48,0,0,-4
49,0,0,-4
50,0,0,-4
51,0,0,-4
52,0,-1,-3
53,0,-1,-3
54,0,-1,-3
55,0,-1,-3
56,0,0,-2
57,0,0,-2
58,0,0,-2
59,0,0,-2
60,-2,1,-2
61,-2,1,-2
62,-2,1,-2
63,-2,1,-2
64,-2,1,-1
65,-2,1,-1
66,-2,1,-1
67,-2,1,-1
68,-2,1,-2
69,-2,1,-2
70,-2,1,-2
71,-2,1,-2
72,-1,1,-2
73,-1,1,-2
74,-1,1,-2
75,-1,1,-2
76,-1,1,-3
77,-1,1,-3
78,-1,1,-3
79,-1,1,-3
80,0,0,-1
81,0,0,-1
82,0,0,-1
83,0,0,-1
84,0,1,0
85,0,1,0
86,0,1,0
87,0,1,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,1,0,0
93,1,0,0
94,1,0,0
95,1,0,0
96,0,2,1
97,0,2,1
98,0,2,1
99,0,2,1
100,0,2,2
101,0,2,2
102,0,2,2
103,0,2,2
104,0,1,3
105,0,1,3
106,0,1,3
107,0,1,3
108,1,0,6
109,1,0,6
110,1,0,6
111,1,0,6
112,1,0,8
113,1,0,8
114,1,0,8
115,1,0,8
116,3,-1,11
117,3,-1,11
118,3,-1,11
119,3,-1,11
120,2,0,13
121,2,0,13
122,2,0,13
123,2,0,13
124,1,0,16
125,1,0,16
126,1,0,16
127,1,0,16
128,1,-1,15
129,1,-1,15
130,1,-1,15
131,1,-1,15
132,0,0,16
133,0,0,16
134,0,0,16
135,0,0,16
136,-1,1,23
137,-1,1,23
138,-1,1,23
139,-1,1,23
140,0,-1,21
141,0,-1,21
142,0,-1,21
143,0,-1,21
144,0,-2,23
145,0,-2,23
146,0,-2,23
147,0,-2,23
148,0,-2,25
149,0,-2,25
150,0,-2,25
151,0,-2,25
152,0,-2,26
153,0,-2,26
154,0,-2,26
155,0,-2,26
156,0,-2,27
157,0,-2,27
158,0,-2,27
159,0,-2,27
160,1,-1,30
161,1,-1,30
162,1,-1,30
163,1,-1,30
164,2,0,31
165,2,0,31
166,2,0,31
167,2,0,31
168,3,-1,29
169,3,-1,29
170,3,-1,29
171,3,-1,29
172,2,-1,30
173,2,-1,30
174,2,-1,30
175,2,-1,30
176,1,0,31
177,1,0,31
178,1,0,31
179,1,0,31
180,0,0,31
181,0,0,31
182,0,0,31
183,0,0,31
184,-1,0,32
185,-1,0,32
186,-1,0,32
187,-1,0,32
188,-1,0,31
189,-1,0,31
190,-1,0,31
191,-1,0,31
192,-1,0,32
193,-1,0,32
194,-1,0,32
195,-1,0,32
196,0,0,33
197,0,0,33
198,0,0,33
199,0,0,33
200,1,0,32
201,1,0,32
202,1,0,32
203,1,0,32
204,0,0,34
205,0,0,34
206,0,0,34
207,0,0,34
208,0,0,32
209,0,0,32
210,0,0,32
211,0,0,32
212,0,0,32
213,0,0,32
214,0,0,32
215,0,0,32
216,0,0,31
217,0,0,31
218,0,0,31
219,0,0,31
220,-1,0,30
221,-1,0,30
222,-1,0,30
223,-1,0,30
224,0,1,33
225,0,1,33
226,0,1,33
227,0,1,33
228,0,2,33
229,0,2,33
230,0,2,33
231,0,2,33
232,0,2,32
233,0,2,32
234,0,2,32
235,0,2,32
236,1,3,33
237,1,3,33
238,1,3,33
239,1,3,33
240,3,2,32
241,3,2,32
242,3,2,32
243,3,2,32
244,4,3,33
245,4,3,33
246,4,3,33
247,4,3,33
248,6,2,34
249,6,2,34
250,6,2,34
251,6,2,34
252,4,3,33
253,4,3,33
254,4,3,33
255,4,3,33
256,5,3,32
257,5,3,32
258,5,3,32
259,5,3,32
260,5,3,32
261,5,3,32
262,5,3,32
263,5,3,32
264,6,2,31
265,6,2,31
266,6,2,31
267,6,2,31
268,10,1,33
269,10,1,33
270,10,1,33
271,10,1,33
272,11,0,33
273,11,0,33
274,11,0,33
275,11,0,33
276,13,-1,32
277,13,-1,32
278,13,-1,32
279,13,-1,32
280,16,-1,32
281,16,-1,32
282,16,-1,32
283,16,-1,32
284,17,-2,31
285,17,-2,31
286,17,-2,31
287,17,-2,31
288,18,-2,31
289,18,-2,31
290,18,-2,31
291,18,-2,31
292,21,0,33
293,21,0,33
294,21,0,33
295,21,0,33
296,23,0,32
297,23,0,32
298,23,0,32
299,23,0,32
300,26,0,33
301,26,0,33
302,26,0,33
303,26,0,33
304,26,1,32
305,26,1,32
306,26,1,32
307,26,1,32
308,29,0,32
309,29,0,32
310,29,0,32
311,29,0,32
312,30,-1,32
313,30,-1,32
314,30,-1,32
315,30,-1,32
316,32,0,33
317,32,0,33
318,32,0,33
319,32,0,33
320,34,-1,32
321,34,-1,32
322,34,-1,32
323,34,-1,32
324,34,-3,31
325,34,-3,31
326,34,-3,31
327,34,-3,31
328,38,-2,33
329,38,-2,33
330,38,-2,33
331,38,-2,33
332,38,-3,32
333,38,-3,32
334,38,-3,32
335,38,-3,32
336,39,-3,32
337,39,-3,32
338,39,-3,32
339,39,-3,32
340,41,-3,32
341,41,-3,32
342,41,-3,32
343,41,-3,32
344,43,-2,32
345,43,-2,32
346,43,-2,32
347,43,-2,32
348,46,-1,32
349,46,-1,32
350,46,-1,32
351,46,-1,32
352,48,-2,31
353,48,-2,31
354,48,-2,31
355,48,-2,31
356,51,-2,32
357,51,-2,32
358,51,-2,32
359,51,-2,32
360,53,0,32
361,53,0,32
362,53,0,32
363,53,0,32
364,56,0,32
365,56,0,32
366,56,0,32
367,56,0,32
368,59,1,31
369,59,1,31
370,59,1,31
371,59,1,31
372,62,1,31
373,62,1,31
374,62,1,31
375,62,1,31
376,64,2,31
377,64,2,31
378,64,2,31
379,64,2,31
380,63,0,30
381,63,0,30
382,63,0,30
383,63,0,30
384,64,0,31
385,64,0,31
386,64,0,31
387,64,0,31
388,65,0,31
389,65,0,31
390,65,0,31
391,65,0,31
392,64,1,31
393,64,1,31
394,64,1,31
395,64,1,31
396,63,2,31
397,63,2,31
398,63,2,31
399,63,2,31
400,67,2,32
401,67,2,32
402,67,2,32
403,67,2,32
404,70,1,32
405,70,1,32
406,70,1,32
407,70,1,32
408,71,0,32
409,71,0,32
410,71,0,32
411,71,0,32
412,69,-3,29
413,69,-3,29
414,69,-3,29
415,69,-3,29
416,70,-4,28
417,70,-4,28
418,70,-4,28
419,70,-4,28
420,71,-2,31
421,71,-2,31
422,71,-2,31
423,71,-2,31
424,73,-2,36
425,73,-2,36
426,73,-2,36
427,73,-2,36
428,77,-6,41
429,77,-6,41
430,77,-6,41
431,77,-6,41
432,76,1,34
433,76,1,34
434,76,1,34
435,76,1,34
436,75,8,26
437,75,8,26
438,75,8,26
439,75,8,26
440,76,10,23
441,76,10,23
442,76,10,23
443,76,10,23
444,77,11,21
445,77,11,21
446,77,11,21
447,77,11,21
448,75,6,21
449,75,6,21
450,75,6,21
451,75,6,21
452,74,2,22
453,74,2,22
454,74,2,22
455,74,2,22
456,76,0,24
457,76,0,24
458,76,0,24
459,76,0,24
460,76,-1,26
461,76,-1,26
462,76,-1,26
463,76,-1,26
464,74,-4,28
465,74,-4,28
466,74,-4,28
467,74,-4,28
468,73,-5,28
469,73,-5,28
470,73,-5,28
471,73,-5,28
472,73,-5,31
473,73,-5,31
474,73,-5,31
475,73,-5,31
476,73,-5,32
477,73,-5,32
478,73,-5,32
479,73,-5,32
480,72,-5,33
481,72,-5,33
482,72,-5,33
483,72,-5,33
484,72,-3,35
485,72,-3,35
486,72,-3,35
487,72,-3,35
488,77,-8,39
489,77,-8,39
490,77,-8,39
491,77,-8,39
492,76,1,28
493,76,1,28
494,76,1,28
495,76,1,28
496,76,4,29
497,76,4,29
498,76,4,29
499,76,4,29
500,75,4,29
501,75,4,29
502,75,4,29
503,75,4,29
504,73,3,30
505,73,3,30
506,73,3,30
507,73,3,30
508,71,1,31
509,71,1,31
510,71,1,31
511,71,1,31
512,67,0,32
513,67,0,32
514,67,0,32
515,67,0,32
516,68,-1,32
517,68,-1,32
518,68,-1,32
519,68,-1,32
520,68,-1,31
521,68,-1,31
522,68,-1,31
523,68,-1,31
524,67,0,32
525,67,0,32
526,67,0,32
527,67,0,32
528,67,0,32
529,67,0,32
530,67,0,32
531,67,0,32
532,72,0,33
533,72,0,33
534,72,0,33
535,72,0,33
536,73,1,33
537,73,1,33
538,73,1,33
539,73,1,33
540,74,2,30
541,74,2,30
542,74,2,30
543,74,2,30
544,69,1,30
545,69,1,30
546,69,1,30
547,69,1,30
548,67,5,28
549,67,5,28
550,67,5,28
551,67,5,28
552,72,4,31
553,72,4,31
554,72,4,31
555,72,4,31
556,74,5,33
557,74,5,33
558,74,5,33
559,74,5,33
560,74,5,32
561,74,5,32
562,74,5,32
563,74,5,32
564,76,8,31
565,76,8,31
566,76,8,31
567,76,8,31
568,77,10,31
569,77,10,31
570,77,10,31
571,77,10,31
572,78,14,32
573,78,14,32
574,78,14,32
575,78,14,32
576,79,19,33
577,79,19,33
578,79,19,33
579,79,19,33
580,78,22,32
581,78,22,32
582,78,22,32
583,78,22,32
584,79,25,32
585,79,25,32
586,79,25,32
587,79,25,32
588,79,27,31
589,79,27,31
590,79,27,31
591,79,27,31
592,79,27,31
593,79,27,31
594,79,27,31
595,79,27,31
596,76,26,30
597,76,26,30
598,76,26,30
599,76,26,30
600,76,27,31
601,76,27,31
602,76,27,31
603,76,27,31
604,78,30,32
605,78,30,32
606,78,30,32
607,78,30,32
608,75,33,32
609,75,33,32
610,75,33,32
611,75,33,32
612,78,34,31
613,78,34,31
614,78,34,31
615,78,34,31
616,78,36,30
617,78,36,30
618,78,36,30
619,78,36,30
620,82,38,30
621,82,38,30
622,82,38,30
623,82,38,30
624,83,40,30
625,83,40,30
626,83,40,30
627,83,40,30
628,84,43,30
629,84,43,30
630,84,43,30
631,84,43,30
632,81,45,30
633,81,45,30
634,81,45,30
635,81,45,30
636,80,47,30
637,80,47,30
638,80,47,30
639,80,47,30
640,78,49,30
641,78,49,30
642,78,49,30
643,78,49,30
644,78,49,31
645,78,49,31
646,78,49,31
647,78,49,31
648,81,54,31
649,81,54,31
650,81,54,31
651,81,54,31
652,84,55,31
653,84,55,31
654,84,55,31
655,84,55,31
656,84,56,30
657,84,56,30
658,84,56,30
659,84,56,30
660,83,56,27
661,83,56,27
662,83,56,27
663,83,56,27
664,81,56,24
665,81,56,24
666,81,56,24
667,81,56,24
668,79,56,23
669,79,56,23
670,79,56,23
671,79,56,23
672,72,63,34
673,72,63,34
674,72,63,34
675,72,63,34
676,69,65,38
677,69,65,38
678,69,65,38
679,69,65,38
680,66,68,39
681,66,68,39
682,66,68,39
683,66,68,39
684,66,69,37
685,66,69,37
686,66,69,37
687,66,69,37
688,68,70,35
689,68,70,35
690,68,70,35
691,68,70,35
692,70,70,33
693,70,70,33
694,70,70,33
695,70,70,33
696,70,70,32
697,70,70,32
698,70,70,32
699,70,70,32
700,71,69,31
701,71,69,31
702,71,69,31
703,71,69,31
704,72,70,31
705,72,70,31
706,72,70,31
707,72,70,31
708,69,71,30
709,69,71,30
710,69,71,30
711,69,71,30
712,69,71,30
713,69,71,30
714,69,71,30
715,69,71,30
716,67,71,29
717,67,71,29
718,67,71,29
719,67,71,29
720,66,72,28
721,66,72,28
722,66,72,28
723,66,72,28
724,67,72,29
725,67,72,29
726,67,72,29
727,67,72,29
728,67,72,28
729,67,72,28
730,67,72,28
731,67,72,28
732,69,74,30
733,69,74,30
734,69,74,30
735,69,74,30
736,67,76,30
737,67,76,30
738,67,76,30
739,67,76,30
740,69,76,30
741,69,76,30
742,69,76,30
743,69,76,30
744,70,76,30
745,70,76,30
746,70,76,30
747,70,76,30
748,72,78,29
749,72,78,29
750,72,78,29
751,72,78,29
752,72,76,29
753,72,76,29
754,72,76,29
755,72,76,29
756,72,75,29
757,72,75,29
758,72,75,29
759,72,75,29
760,72,75,29
761,72,75,29
762,72,75,29
763,72,75,29
764,71,72,29
765,71,72,29
766,71,72,29
767,71,72,29
768,72,75,29
769,72,75,29
770,72,75,29
771,72,75,29
772,72,75,30
773,72,75,30
774,72,75,30
775,72,75,30
776,74,73,29
777,74,73,29
778,74,73,29
779,74,73,29
780,74,73,29
781,74,73,29
782,74,73,29
783,74,73,29
784,73,72,28
785,73,72,28
786,73,72,28
787,73,72,28
788,72,70,27
789,72,70,27
790,72,70,27
791,72,70,27
792,72,72,29
793,72,72,29
794,72,72,29
795,72,72,29
796,73,73,30
797,73,73,30
798,73,73,30
799,73,73,30
800,72,75,31
801,72,75,31
802,72,75,31
803,72,75,31
804,71,77,32
805,71,77,32
806,71,77,32
807,71,77,32
808,73,78,32
809,73,78,32
810,73,78,32
811,73,78,32
812,72,78,31
813,72,78,31
814,72,78,31
815,72,78,31
816,74,78,31
817,74,78,31
818,74,78,31
819,74,78,31
820,78,73,28
821,78,73,28
822,78,73,28
823,78,73,28
824,81,73,28
825,81,73,28
826,81,73,28
827,81,73,28
828,79,71,27
829,79,71,27
830,79,71,27
831,79,71,27
832,77,72,29
833,77,72,29
834,77,72,29
835,77,72,29
836,76,76,31
837,76,76,31
838,76,76,31
839,76,76,31
840,76,78,31
841,76,78,31
842,76,78,31
843,76,78,31
844,77,76,29
845,77,76,29
846,77,76,29
847,77,76,29
848,76,76,28
849,76,76,28
850,76,76,28
851,76,76,28
852,76,74,27
853,76,74,27
854,76,74,27
855,76,74,27
856,75,72,27
857,75,72,27
858,75,72,27
859,75,72,27
860,73,72,29
861,73,72,29
862,73,72,29
863,73,72,29
864,75,74,32
865,75,74,32
866,75,74,32
867,75,74,32
868,75,75,32
869,75,75,32
870,75,75,32
871,75,75,32
872,71,76,31
873,71,76,31
874,71,76,31
875,71,76,31
876,71,76,30
877,71,76,30
878,71,76,30
